user_id,group,day,completed
485,control,10,0
486,treatment,5,0
487,control,4,0
488,control,11,0
489,treatment,1,0
490,treatment,2,0
491,control,9,0
492,treatment,11,0
493,control,12,0
494,control,10,0
495,control,13,0
496,control,1,0
497,control,6,0
498,control,14,0
499,treatment,14,0
500,treatment,2,0
501,treatment,3,0
502,control,10,0
503,control,7,0
504,treatment,10,0
505,treatment,12,0
506,control,12,0
507,treatment,8,0
508,treatment,13,0
509,treatment,8,0
510,treatment,8,0
511,treatment,4,0
512,control,14,0
513,treatment,7,0
514,treatment,8,0
515,control,3,1
516,control,5,0
517,control,1,0
518,treatment,13,0
519,treatment,12,0
520,control,5,0
521,control,13,0
522,control,7,1
523,treatment,10,1
524,treatment,7,0
525,treatment,6,0
526,control,10,0
527,control,2,0
528,control,8,1
529,control,5,0
530,treatment,12,0
531,treatment,11,0
532,treatment,3,0
533,treatment,9,0
534,control,8,0
535,treatment,11,0
536,treatment,12,0
537,treatment,11,0
538,control,7,0
539,control,5,0
540,control,7,0
541,treatment,13,0
542,treatment,8,0
543,control,10,0
544,treatment,8,0
545,treatment,8,0
546,control,9,0
547,control,11,0
548,treatment,13,0
549,control,6,0
550,treatment,7,0
551,control,11,0
552,treatment,10,0
553,control,9,1
554,control,10,0
555,treatment,3,0
556,control,6,0
557,control,11,0
558,control,10,0
559,treatment,14,0
560,treatment,4,0
561,treatment,2,0
562,control,5,0
563,control,4,0
564,control,4,0
565,control,8,0
566,control,3,1
567,control,7,0
568,control,14,0
569,treatment,10,0
570,control,10,0
571,control,5,0
572,treatment,11,0
573,control,13,0
574,treatment,4,0
575,treatment,14,0
576,treatment,11,0
577,control,3,0
578,treatment,11,0
579,control,10,0
580,control,3,0
581,control,7,0
582,treatment,5,0
583,control,13,0
584,control,5,0
585,treatment,12,0
586,control,12,0
587,control,7,0
588,control,8,0
589,control,12,0
590,control,6,0
591,control,10,0
592,treatment,14,0
593,control,8,1
594,control,3,0
595,treatment,7,0
596,control,2,0
597,treatment,12,0
598,control,10,0
599,control,7,0
600,control,14,0
601,control,8,0
602,control,3,0
603,control,13,0
604,control,5,0
605,control,4,0
606,control,2,0
607,control,13,0
608,control,2,0
609,control,5,0
610,treatment,10,0
611,control,5,0
612,treatment,2,0
613,treatment,8,0
614,control,1,0
615,treatment,3,0
616,treatment,2,0
617,control,14,0
618,control,10,0
619,treatment,6,0
620,treatment,7,0
621,control,6,0
622,control,4,0
623,control,2,0
624,control,10,0
625,treatment,4,0
626,control,9,0
627,control,2,0
628,treatment,7,0
629,control,4,0
630,control,11,0
631,treatment,13,0
632,treatment,3,0
633,control,9,0
634,control,3,0
635,control,5,0
636,control,9,0
637,control,11,0
638,control,3,0
639,control,10,0
640,control,9,0
641,control,11,0
642,control,6,0
643,control,7,0
644,control,8,0
645,control,5,0
646,treatment,14,0
647,control,11,0
648,treatment,2,0
649,treatment,7,0
650,control,7,0
651,control,13,0
652,control,12,0
653,control,2,0
654,treatment,7,0
655,control,3,0
656,control,14,0
657,control,10,1
658,control,10,0
659,treatment,6,1
660,control,13,0
661,control,9,0
662,treatment,4,0
663,treatment,12,0
664,control,1,0
665,control,10,0
666,control,4,1
667,control,13,0
668,control,3,0
669,control,5,0
670,control,7,0
671,control,8,0
672,treatment,13,0
673,control,11,0
674,control,3,0
675,control,5,0
676,treatment,12,0
677,control,12,0
678,control,8,0
679,treatment,7,0
680,treatment,5,1
681,treatment,8,1
682,control,14,0
683,control,6,0
684,treatment,7,0
685,treatment,3,0
686,control,13,0
687,control,2,1
688,control,2,0
689,treatment,10,0
690,control,2,1
691,control,11,1
692,control,2,0
693,control,10,0
694,control,7,0
695,control,11,0
696,treatment,1,0
697,control,4,0
698,control,12,0
699,control,7,1
700,control,10,0
701,control,10,0
702,control,2,0
703,control,9,0
704,control,5,0
705,control,1,0
706,treatment,11,0
707,control,12,0
708,treatment,2,0
709,control,12,0
710,treatment,1,0
711,treatment,10,0
712,control,12,0
713,control,5,0
714,control,8,0
715,control,7,0
716,treatment,3,0
717,treatment,10,0
718,treatment,10,0
719,control,5,0
720,treatment,6,0
721,treatment,2,0
722,control,12,0
723,control,2,0
724,treatment,14,0
725,control,6,0
726,treatment,2,1
727,control,7,0
728,treatment,5,0
729,control,6,0
730,control,2,0
731,control,2,0
732,treatment,2,0
733,treatment,13,1
734,control,5,0
735,control,6,0
736,treatment,4,0
737,control,13,0
738,treatment,7,0
739,control,13,0
740,control,6,0
741,control,8,0
742,control,2,0
743,treatment,4,0
744,control,10,0
745,control,4,0
746,treatment,11,1
747,control,2,0
748,control,12,0
749,treatment,6,0
750,treatment,11,0
751,control,11,0
752,treatment,1,0
753,treatment,8,1
754,control,8,0
755,control,9,0
756,treatment,9,0
757,treatment,11,1
758,control,7,0
759,treatment,12,0
760,treatment,7,0
761,control,6,1
762,control,14,0
763,control,4,0
764,treatment,6,0
765,control,13,0
766,control,2,0
767,treatment,11,0
768,treatment,13,0
769,control,11,0
770,treatment,1,0
771,control,8,0
772,treatment,14,0
773,control,8,0
774,control,11,0
775,treatment,9,0
776,control,9,0
777,control,8,0
778,treatment,6,0
779,treatment,7,0
780,treatment,4,0
781,treatment,8,0
782,control,1,0
783,control,8,0
784,control,13,0
785,control,2,0
786,treatment,7,0
787,control,8,0
788,control,4,1
789,control,4,0
790,treatment,14,1
791,control,12,0
792,control,10,0
793,control,7,0
794,treatment,7,0
795,control,14,1
796,treatment,11,0
797,treatment,12,0
798,control,9,0
799,treatment,3,1
800,treatment,12,0
801,treatment,8,0
802,control,4,0
803,control,13,0
804,treatment,5,0
805,control,13,0
806,treatment,14,0
807,treatment,12,1
808,treatment,7,0
809,control,4,0
810,control,13,0
811,treatment,1,0
812,treatment,13,0
813,control,8,1
814,treatment,12,0
815,treatment,12,0
816,control,10,0
817,control,1,0
818,control,11,0
819,control,1,0
820,control,13,1
821,treatment,14,0
822,control,5,0
823,control,1,0
824,control,14,0
825,control,10,0
826,treatment,8,1
827,control,10,0
828,control,3,0
829,treatment,5,0
830,control,4,0
831,control,3,0
832,control,9,0
833,control,2,0
834,control,8,0
835,control,3,0
836,control,6,1
837,treatment,12,0
838,control,2,0
839,control,14,0
840,treatment,4,0
841,control,4,0
842,treatment,2,0
843,control,4,0
844,treatment,3,0
845,control,2,0
846,control,2,0
847,control,2,0
848,treatment,5,1
849,control,5,0
850,control,8,1
851,control,2,0
852,treatment,8,0
853,control,6,0
854,treatment,3,0
855,control,12,0
856,control,11,0
857,control,5,0
858,control,4,0
859,control,5,0
860,control,6,0
861,treatment,4,0
862,control,10,0
863,control,10,0
864,control,8,0
865,control,2,0
866,control,4,0
867,control,9,0
868,control,2,0
869,treatment,11,0
870,treatment,10,0
871,control,13,0
872,control,2,0
873,treatment,10,0
874,control,1,0
875,control,1,0
876,control,13,0
877,treatment,8,0
878,treatment,14,0
879,control,11,0
880,control,3,0
881,control,12,0
882,treatment,1,0
883,control,13,1
884,control,2,0
885,treatment,11,0
886,control,4,0
887,treatment,4,0
888,control,7,0
889,control,10,0
890,control,12,0
891,treatment,7,0
892,treatment,9,1
893,treatment,13,0
894,control,9,0
895,treatment,5,0
896,control,14,0
897,control,8,0
898,treatment,8,0
899,control,2,0
900,control,1,0
901,control,7,0
902,control,10,1
903,control,11,0
904,control,12,0
905,control,6,0
906,treatment,5,0
907,treatment,4,0
908,control,10,0
909,control,12,0
910,control,5,0
911,control,2,0
912,control,5,0
913,treatment,11,1
914,control,7,0
915,control,13,1
916,control,12,0
917,control,1,0
918,treatment,2,0
919,treatment,3,0
920,control,9,0
921,treatment,8,0
922,control,1,1
923,treatment,9,0
924,treatment,10,0
925,control,10,0
926,control,7,1
927,control,9,0
928,control,5,0
929,treatment,5,0
930,control,1,0
931,control,7,0
932,treatment,8,0
933,treatment,13,0
934,control,1,1
935,control,10,0
936,control,14,0
937,control,5,0
938,treatment,7,0
939,control,3,0
940,control,2,0
941,control,14,0
942,control,1,0
943,treatment,11,0
944,treatment,14,0
945,control,11,0
946,control,10,0
947,control,3,0
948,treatment,14,0
949,treatment,8,0
950,control,13,0
951,treatment,3,0
952,treatment,3,0
953,control,4,0
954,treatment,3,0
955,control,3,0
956,control,13,0
957,control,11,0
958,control,3,0
959,control,14,0
960,treatment,2,0
961,control,4,0
962,treatment,3,0
963,control,9,0
964,control,4,0
965,control,5,0
966,control,11,0
967,treatment,6,0
968,control,10,0
969,control,10,1
970,control,5,0
971,treatment,7,0
972,treatment,5,0
973,treatment,1,0
974,control,14,0
975,control,13,0
976,control,8,0
977,control,8,0
978,control,13,0
979,control,4,0
980,control,11,0
981,control,6,0
982,treatment,1,0
983,control,9,0
984,control,6,0
985,treatment,7,0
986,control,1,0
987,treatment,11,0
988,control,13,0
989,control,13,0
990,treatment,4,0
991,treatment,7,0
992,treatment,4,0
993,control,1,0
994,control,14,0
995,control,3,0
996,control,5,0
997,treatment,3,0
998,control,6,0
999,treatment,8,0
1000,control,7,0
1001,control,7,0
1002,control,13,1
1003,treatment,3,0
1004,treatment,11,0
1005,treatment,9,0
1006,treatment,4,0
1007,treatment,8,0
1008,treatment,10,0
1009,control,3,0
1010,control,14,0
1011,control,10,0
1012,treatment,1,0
1013,treatment,3,0
1014,control,9,0
1015,treatment,2,0
1016,treatment,13,0
1017,control,3,0
1018,control,9,0
1019,treatment,6,0
1020,control,10,0
1021,treatment,11,0
1022,control,7,0
1023,treatment,10,0
1024,treatment,6,0
1025,treatment,5,0
1026,control,11,0
1027,treatment,1,0
1028,treatment,1,0
1029,control,7,0
1030,treatment,7,0
1031,control,9,0
1032,control,9,0
1033,control,3,0
1034,control,13,0
1035,control,5,0
1036,treatment,1,0
1037,control,7,0
1038,treatment,14,1
1039,control,7,0
1040,control,9,0
1041,control,9,0
1042,treatment,1,1
1043,control,11,0
1044,treatment,5,0
1045,treatment,4,0
1046,treatment,4,0
1047,control,13,0
1048,control,6,0
1049,treatment,6,0
1050,control,9,0
1051,treatment,12,0
1052,control,3,0
1053,treatment,9,0
1054,treatment,13,0
1055,treatment,13,0
1056,control,10,1
1057,treatment,11,0
1058,control,3,0
1059,control,10,0
1060,treatment,6,0
1061,treatment,10,0
1062,treatment,10,0
1063,treatment,14,0
1064,control,7,0
1065,control,6,1
1066,treatment,8,0
1067,control,6,0
1068,control,3,0
1069,control,2,0
1070,control,3,0
1071,control,14,0
1072,control,2,0
1073,control,4,0
1074,control,14,0
1075,treatment,5,0
1076,control,3,0
1077,control,1,0
1078,treatment,1,0
1079,control,2,0
1080,treatment,8,0
1081,treatment,7,0
1082,control,7,0
1083,control,2,1
1084,treatment,3,0
1085,treatment,12,0
1086,control,1,0
1087,treatment,7,1
1088,control,11,0
1089,treatment,6,0
1090,control,1,0
1091,treatment,5,0
1092,treatment,2,0
1093,treatment,6,0
1094,control,3,0
1095,control,2,0
1096,control,3,0
1097,control,10,1
1098,control,2,0
1099,treatment,3,0
1100,control,5,0
1101,control,8,1
1102,treatment,9,0
1103,treatment,11,0
1104,treatment,14,0
1105,treatment,5,0
1106,control,12,0
1107,control,6,0
1108,treatment,2,0
1109,treatment,2,0
1110,control,1,0
1111,treatment,9,0
1112,control,8,0
1113,control,14,1
1114,control,2,0
1115,control,2,0
1116,control,11,0
1117,control,1,0
1118,treatment,11,0
1119,control,11,0
1120,control,7,0
1121,treatment,10,0
1122,treatment,9,0
1123,treatment,5,0
1124,treatment,7,0
1125,treatment,1,1
1126,control,3,0
1127,control,3,0
1128,control,10,0
1129,control,4,0
1130,control,1,0
1131,treatment,5,0
1132,control,9,0
1133,control,9,1
1134,control,11,0
1135,treatment,6,0
1136,control,7,0
1137,treatment,10,0
1138,control,13,0
1139,control,5,0
1140,control,8,0
1141,treatment,1,1
1142,control,1,0
1143,treatment,14,0
1144,control,14,0
1145,control,8,0
1146,treatment,13,0
1147,treatment,5,0
1148,treatment,12,0
1149,treatment,4,0
1150,treatment,13,0
1151,treatment,10,0
1152,treatment,12,1
1153,treatment,11,0
1154,treatment,7,0
1155,treatment,11,0
1156,treatment,14,0
1157,control,3,0
1158,treatment,9,0
1159,treatment,7,0
1160,control,12,0
1161,treatment,14,0
1162,control,14,0
1163,control,1,0
1164,treatment,2,0
1165,control,13,0
1166,treatment,5,0
1167,treatment,2,1
1168,control,12,0
1169,control,14,0
1170,control,2,0
1171,treatment,6,0
1172,treatment,13,0
1173,treatment,13,0
1174,control,6,0
1175,treatment,10,0
1176,control,9,0
1177,treatment,6,0
1178,control,2,0
1179,treatment,1,1
1180,control,12,0
1181,treatment,6,0
1182,control,5,0
1183,treatment,11,1
1184,treatment,11,0
1185,control,8,0
1186,treatment,5,0
1187,treatment,8,0
1188,control,2,0
1189,control,6,0
1190,treatment,6,0
1191,control,6,0
1192,control,13,0
1193,control,7,0
1194,treatment,10,0
1195,control,2,0
1196,treatment,5,0
1197,treatment,7,0
1198,treatment,3,0
1199,treatment,5,0
1200,control,6,0
1201,treatment,10,0
1202,control,12,0
1203,control,14,0
1204,control,3,1
1205,control,8,0
1206,treatment,7,0
1207,treatment,10,0
1208,control,11,0
1209,control,1,0
1210,treatment,5,0
1211,control,13,0
1212,control,3,0
1213,control,9,0
1214,treatment,14,0
1215,treatment,4,0
1216,control,12,0
1217,control,12,0
1218,treatment,11,0
1219,treatment,2,0
1220,control,5,0
1221,treatment,1,0
1222,control,1,0
1223,control,7,0
1224,treatment,4,0
1225,control,6,0
1226,treatment,4,0
1227,control,7,0
1228,control,14,0
1229,treatment,9,0
1230,control,13,0
1231,treatment,9,0
1232,control,4,0
1233,control,4,1
1234,control,3,0
1235,treatment,12,1
1236,control,3,0
1237,treatment,5,0
1238,control,4,0
1239,treatment,12,0
1240,control,1,0
1241,treatment,12,0
1242,treatment,5,0
1243,treatment,6,0
1244,treatment,2,0
1245,treatment,1,0
1246,treatment,5,0
1247,control,11,0
1248,control,7,0
1249,treatment,9,0
1250,treatment,12,0
1251,treatment,1,0
1252,control,3,0
1253,control,6,0
1254,control,10,0
1255,treatment,6,0
1256,control,12,1
1257,control,13,1
1258,control,7,0
1259,control,2,0
1260,control,14,0
1261,control,8,0
1262,treatment,3,0
1263,control,2,0
1264,control,13,0
1265,control,5,0
1266,control,9,0
1267,control,10,0
1268,control,9,0
1269,treatment,4,0
1270,control,3,0
1271,treatment,4,0
1272,treatment,13,1
1273,treatment,5,0
1274,control,13,0
1275,control,7,0
1276,control,8,0
1277,control,13,1
1278,treatment,7,0
1279,control,2,0
1280,control,8,0
1281,treatment,10,0
1282,treatment,7,0
1283,control,5,0
1284,control,6,1
1285,control,4,0
1286,control,3,0
1287,control,11,0
1288,control,6,0
1289,control,4,0
1290,control,4,0
1291,control,12,0
1292,control,6,0
1293,control,11,0
1294,treatment,3,0
1295,treatment,13,0
1296,control,13,0
1297,control,12,0
1298,control,10,0
1299,treatment,14,0
1300,treatment,10,0
1301,control,1,0
1302,treatment,11,0
1303,control,8,0
1304,control,10,0
1305,treatment,7,0
1306,treatment,9,0
1307,treatment,11,0
1308,treatment,12,0
1309,control,12,0
1310,treatment,13,0
1311,control,9,0
1312,treatment,1,0
1313,control,1,0
1314,treatment,1,0
1315,control,5,0
1316,treatment,6,0
1317,control,13,0
1318,treatment,4,0
1319,control,7,1
1320,control,12,0
1321,control,10,0
1322,control,6,0
1323,treatment,9,1
1324,control,1,0
1325,treatment,9,0
1326,control,8,1
1327,control,5,0
1328,treatment,6,0
1329,treatment,9,0
1330,control,9,0
1331,control,4,0
1332,treatment,10,0
1333,control,6,1
1334,treatment,13,0
1335,treatment,13,0
1336,treatment,11,1
1337,control,1,0
1338,treatment,9,0
1339,control,1,0
1340,control,2,0
1341,control,1,0
1342,control,5,1
1343,treatment,14,0
1344,treatment,4,0
1345,treatment,4,0
1346,control,11,0
1347,control,2,0
1348,control,2,0
1349,treatment,6,0
1350,control,9,0
1351,treatment,11,0
1352,control,12,0
1353,control,9,1
1354,treatment,8,0
1355,control,10,0
1356,treatment,9,0
1357,treatment,4,1
1358,control,3,0
1359,control,14,0
1360,control,14,0
1361,treatment,13,0
1362,control,1,0
1363,treatment,6,0
1364,treatment,6,0
1365,treatment,2,0
1366,control,11,0
1367,treatment,14,0
1368,treatment,1,0
1369,control,10,0
1370,control,2,0
1371,treatment,3,1
1372,control,10,0
1373,treatment,2,0
1374,control,12,0
1375,control,13,0
1376,treatment,3,0
1377,control,4,0
1378,control,5,0
1379,control,8,1
1380,control,6,0
1381,control,1,0
1382,control,12,0
1383,treatment,14,0
1384,control,14,0
1385,treatment,6,0
1386,control,13,0
1387,treatment,2,1
1388,control,6,0
1389,treatment,6,0
1390,control,11,0
1391,control,12,0
1392,control,1,0
1393,control,4,0
1394,control,10,0
1395,control,3,0
1396,treatment,8,0
1397,control,4,0
1398,control,12,0
1399,treatment,10,1
1400,treatment,14,0
1401,control,7,0
1402,control,3,0
1403,control,10,0
1404,treatment,7,0
1405,treatment,2,0
1406,control,13,0
1407,treatment,13,0
1408,treatment,5,0
1409,control,5,0
1410,treatment,4,0
1411,control,4,0
1412,control,14,0
1413,control,6,0
1414,control,2,0
1415,control,3,0
1416,treatment,13,0
1417,control,10,0
1418,control,7,1
1419,control,14,0
1420,treatment,11,0
1421,control,10,0
1422,control,13,0
1423,control,5,0
1424,control,4,0
1425,treatment,9,0
1426,treatment,8,0
1427,control,9,0
1428,treatment,8,0
1429,treatment,13,0
1430,treatment,2,0
1431,control,4,0
1432,control,3,0
1433,control,10,0
1434,treatment,10,0
1435,control,1,0
1436,control,4,0
1437,control,7,0
1438,treatment,5,0
1439,control,5,0
1440,treatment,13,0
1441,treatment,6,0
1442,control,10,0
1443,treatment,3,0
1444,control,2,0
1445,treatment,13,0
1446,control,11,0
1447,treatment,7,0
1448,treatment,9,0
1449,treatment,9,0
1450,treatment,3,0
1451,control,12,0
1452,treatment,14,0
1453,treatment,1,1
1454,control,2,0
1455,control,8,0
1456,treatment,5,0
1457,treatment,9,0
1458,treatment,3,0
1459,control,1,1
1460,treatment,11,0
1461,control,14,0
1462,treatment,3,0
1463,control,4,0
1464,treatment,6,0
1465,treatment,1,0
1466,control,13,1
1467,treatment,1,0
1468,control,11,0
1469,treatment,1,0
1470,treatment,6,0
1471,control,5,0
1472,treatment,12,1
1473,treatment,8,0
1474,control,8,0
1475,control,8,0
1476,treatment,4,0
1477,treatment,4,0
1478,treatment,3,0
1479,treatment,6,0
1480,control,10,0
1481,treatment,8,0
1482,control,11,0
1483,control,7,0
1484,control,5,0
1485,control,4,0
1486,control,3,0
1487,control,3,0
1488,treatment,8,0
1489,control,4,0
1490,control,14,0
1491,control,1,0
1492,control,5,0
1493,control,2,0
1494,control,10,0
1495,treatment,14,0
1496,treatment,13,0
1497,treatment,3,0
1498,control,12,0
1499,control,12,0
1500,treatment,13,0
1501,control,5,0
1502,control,4,0
1503,control,12,0
1504,control,13,0
1505,control,3,1
1506,control,2,0
1507,control,10,0
1508,control,8,0
1509,treatment,7,0
1510,treatment,9,0
1511,treatment,13,0
1512,treatment,1,0
1513,treatment,1,0
1514,control,14,0
1515,control,10,0
1516,control,4,0
1517,treatment,4,0
1518,treatment,8,0
1519,control,4,1
1520,treatment,6,1
1521,control,5,0
1522,treatment,10,0
1523,control,6,0
1524,control,5,0
1525,control,8,0
